
---------- Begin Simulation Statistics ----------
system.cpu.statIssuedInstType_0::SimdUnitStrideFaultOnlyFirstLoad            0      0.00%     98.21% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdUnitStrideSegmentedLoad        99846      1.34%     99.54% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdUnitStrideSegmentedStore            0      0.00%     99.54% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdExt            0      0.00%     99.54% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatExt            0      0.00%     99.54% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdConfig        34082      0.46%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::total        7469617                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.issueRate                         2.477725                       # Inst issue rate ((Count/Cycle))
system.cpu.fuBusy                               55481                       # FU busy when requested (Count)
system.cpu.fuBusyRate                        0.007428                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu.intInstQueueReads                 12538835                       # Number of integer instruction queue reads (Count)
system.cpu.intInstQueueWrites                 7639848                       # Number of integer instruction queue writes (Count)
system.cpu.intInstQueueWakeupAccesses         4697982                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu.fpInstQueueReads                   4522110                       # Number of floating instruction queue reads (Count)
system.cpu.fpInstQueueWrites                  4174377                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses          1896551                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads                   936431                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                  473687                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses          466128                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                     4771200                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                      2275423                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                      468216                       # Number of vector alu accesses (Count)
system.cpu.numSquashedInsts                    172981                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.timesIdled                             414                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                           30925                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
