
---------- Begin Simulation Statistics ----------
system.cpu.issuedInstType_0::SimdStrideSegmentedStore            0      0.00%     99.35% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdExt                0      0.00%     99.35% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdFloatExt            0      0.00%     99.35% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdConfig          2091      0.65%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdBf16Add            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdBf16Cmp            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdBf16Cvt            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdBf16DotProd            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdBf16MatMultAcc            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdBf16Mult            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdBf16MultAcc            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::Bf16Cvt                0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::System                 0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::total             322731                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.issueRate                         1.978852                       # Inst issue rate ((Count/Cycle))
system.cpu.fuBusy                               34527                       # FU busy when requested (Count)
system.cpu.fuBusyRate                        0.106984                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu.intInstQueueReads                   476610                       # Number of integer instruction queue reads (Count)
system.cpu.intInstQueueWrites                  181110                       # Number of integer instruction queue writes (Count)
system.cpu.intInstQueueWakeupAccesses          168333                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu.fpInstQueueReads                     51770                       # Number of floating instruction queue reads (Count)
system.cpu.fpInstQueueWrites                    24721                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses            24415                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads                   284161                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                  128411                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses          127427                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                      173776                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                        27326                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                      156140                       # Number of vector alu accesses (Count)
system.cpu.numRecvResp                          95466                       # Number of received responses (Count)
system.cpu.numRecvRespBytes                   1525728                       # Number of received response bytes (Byte)
system.cpu.recvRespAvgBW                         9.36                       # Average bandwidth of received responses ((Byte/Cycle))
system.cpu.recvRespAvgSize                      15.98                       # Average packet size per received response ((Byte/Count))
system.cpu.recvRespAvgRate                       0.59                       # Average rate of received responses per cycle ((Count/Cycle))
system.cpu.recvRespAvgRetryRate                  0.00                       # Average retry rate per received response ((Count/Count))
system.cpu.numSendRetryResp                         0                       # Number of retry responses sent (Count)
system.cpu.numSquashedInsts                      1449                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
