
---------- Begin Simulation Statistics ----------
system.cpu.statIssuedInstType_0::SimdFloatExt            0      0.00%     99.07% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdConfig         3289      0.93%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::total         353824                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.issueRate                         1.390238                       # Inst issue rate ((Count/Cycle))
system.cpu.fuBusy                                3903                       # FU busy when requested (Count)
system.cpu.fuBusyRate                        0.011031                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu.intInstQueueReads                   850138                       # Number of integer instruction queue reads (Count)
system.cpu.intInstQueueWrites                  534278                       # Number of integer instruction queue writes (Count)
system.cpu.intInstQueueWakeupAccesses          299410                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu.fpInstQueueReads                     50889                       # Number of floating instruction queue reads (Count)
system.cpu.fpInstQueueWrites                    25079                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses            24890                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads                    34433                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                   17124                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses           16736                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                      312054                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                        25954                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                       17629                       # Number of vector alu accesses (Count)
system.cpu.numSquashedInsts                      7472                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.timesIdled                             430                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                           31089                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.MemDepUnit__0.insertedLoads          94035                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores         45223                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads        19490                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores        11640                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__2.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
